First Name,Last Name,Phone,Email,Company Name,City,State,Website,Tags
,,+12149087432,joseph@tcctex.com,,Rockwall,Texas,http://www.tcctex.com/home/rockwall-location/,"roofing-campaign,human-led-ai,dfw"
,,+19725697012,support@spadedg.com,fate roofing group,,,http://fateroofinggroup.com/,"roofing-campaign,human-led-ai,dfw"
,,+19728257796,doublerrroofing@outlook.com,double rr construction and roofing,,,https://doublerrconstructionrc.com/,"roofing-campaign,human-led-ai,dfw"
,,+19728989483,customerservice@talentconstruction.net,Talent General Contracting,,,http://talentconstruction.net/,"roofing-campaign,human-led-ai,dfw"
,,+12144374020,rvilefort@yahoo.com,"Vilefort Constructions, LLC",,,http://www.vilefortconstructions.com/,"roofing-campaign,human-led-ai,dfw"
Stephanie,,+19723452141,steph@stewartconcepts.net,"Stewart Concepts, Inc. / Mishler Custom Homes",,,https://stewartconcepts.net/,"roofing-campaign,human-led-ai,dfw"
,,+19405952475,,VALOR General Contractors,Caddo Mills,TX,https://www.valorgeneralcontractors.com/%3Futm_source%3Dgoogle%26utm_medium%3Dwix_google_business_profile%26utm_campaign%3D15496238557907679667,"roofing-campaign,human-led-ai,dfw"
,,+12145660574,octavio@buenavistaconstructions.com,Vista Buena LLC,,,https://vista-buena.com/,"roofing-campaign,human-led-ai,dfw"
,,+19034560441,duane_fulton@verizon.net,Fulton Construction,Caddo Mills,TX,https://m.facebook.com/fultonconstruction/,"roofing-campaign,human-led-ai,dfw"
,,+12145375287,freddie1@freddieamerica.com,Freddie America LLC â€“ Generac & Electrical Solutions,,,https://freddieamerica.com/,"roofing-campaign,human-led-ai,dfw"
,,+12142541058,,Hill Kitchen And Bathrooms,,,https://hillkitchenandbathroomstx.com/,"roofing-campaign,human-led-ai,dfw"
,,+12145169315,contact@specialistroofing.net,Specialist Roofing,,,https://specialistroofing.net/,"roofing-campaign,human-led-ai,dfw"
,,+12146747909,juanillojlm@yahoo.com,JLM CONTRACTORS LLC,,,http://jlmcontractorsllc.com/,"roofing-campaign,human-led-ai,dfw"
,,+12147141147,info@blackhouseconstruction.com,Black House Construction LLC,,,https://www.blackhouseconstruction.com/,"roofing-campaign,human-led-ai,dfw"
,,+12142840695,docsresidentialroofing@gmail.com,Doc's Roofing & Construction,Royse City,TX,https://docsroofing.net/,"roofing-campaign,human-led-ai,dfw"
,,+19033720302,team@latofonts.com,JA Smith Roofing & Construction,Royse City,TX,https://www.jasroof.com/,"roofing-campaign,human-led-ai,dfw"
,,+12145432422,connor@roofkingconstruction.com,Roofking Construction,Royse City,TX,https://roofkingconstruction.com/,"roofing-campaign,human-led-ai,dfw"
,,+19728327618,rockwallroofingandgutters@gmail.com,"Rockwall Roofing & Gutters, LLC",,,http://rockwallroofingtx.com/,"roofing-campaign,human-led-ai,dfw"
,,+14699647431,info@swiftroofingtexas.com,Swift Roofing & Designs,Royse City,TX,https://swiftroofingtexas.com/,"roofing-campaign,human-led-ai,dfw"
,,+19034569462,formanroofing4u@gmail.com,Forman Roofing,Royse City,TX,http://formanroofing.net/,"roofing-campaign,human-led-ai,dfw"
,,+12149954087,,M.L.R CONSTRUCTION & ROOFING LLC,,,,"roofing-campaign,human-led-ai,dfw"
,,+19032740664,steven@proroofandconstruction.com,Pro Roofing and Construction,,,https://www.proroofandconstruction.com/,"roofing-campaign,human-led-ai,dfw"
,,+19725655566,brandon@rubiconroofingtx.com,Rubicon Roofing and Construction LLC,Royse City,TX,https://www.rubiconroofingtx.com/,"roofing-campaign,human-led-ai,dfw"
,,+12147182436,pxxxxxxxxxxe@fidelityroofingcontractors.com,Fidelity Roofing & Restoration L.L.C.,Royse City,TX,http://fidelityroofingcontractors.com/,"roofing-campaign,human-led-ai,dfw"
,,+14695406823,bulletproo0930@gmail.com,Bulletproof Roofing & Restoration LLC,Fate,TX,http://www.bulletproofroofingtx.com/,"roofing-campaign,human-led-ai,dfw"
,,+18178766253,info@ultimatechoiceroofing.com,Ultimate Choice Luxury Homes Roofing Remodeling & Flooring,Royse City,TX,https://ultimatechoiceluxuryhomes.com/,"roofing-campaign,human-led-ai,dfw"
,,+19728007650,info@breeze-roofing.com,Breeze Roofing & Restoration,Lavon,TX,http://www.breeze-roofing.com/,"roofing-campaign,human-led-ai,dfw"
,,+14696670176,roofingnorthtexas@gmail.com,Texas Roofing & Construction Inc,Wylie,TX,https://www.roofingnorthtexas.com/,"roofing-campaign,human-led-ai,dfw"
,,+12146244229,,Alva Roofing & Construction,,,,"roofing-campaign,human-led-ai,dfw"
