First Name,Last Name,Phone,Email,Company Name,City,State,Website,Tags,line_type,carrier,lookup_status
,,4698259560,,,,,https://www.cookscustomcoatingstx.com/,,mobile,AT&T Wireless,success
,,9722713412,,,Garland,Texas,http://industrialflooringservices.com/,,nonFixedVoip,Bandwidth.com CLEC,success
,,2145041152,darren@sanitechservices.com,,,,https://www.trysanitech.com/,,nonFixedVoip,Bandwidth/RingCentral Messaging - Sinch,success
,,2143056516,support@legacyindustrialcoatings.com,legacy industrial coatings,Plano,Texas,https://www.legacyindustrialcoatings.com/,,mobile,Onvoy,success
,,2145509809,info@dfwclassiccoatings.com,classic concrete coatings,Garland,Texas,https://www.dfwclassiccoatings.com/,,nonFixedVoip,Twilio - SMS/MMS-SVR,success
Tom,,4694023444,twood@tfdc.com,floor coverings international north phoenix az,Wylie,Texas,https://floorcoveringsinternational.com/locations/us/tx/northeast-dfw/%3Futm_source%3Dgoogle%26utm_medium%3Dgb,,nonFixedVoip,Twilio - SMS/MMS-SVR,success
,,9723228643,valorepoxy@gmail.com,,,,http://valorepoxy.com/,,mobile,AT&T Wireless,success
,,4692288004,,,Royse City,Texas,https://www.roysecityconcretecontractors.com/,,nonFixedVoip,Twilio - SMS/MMS-SVR,success
,,5516973309,hudsonepoxyflooring@gmail.com,,Bayonne,New Jersey,https://hudsonepoxyflooring.com/,,mobile,T-Mobile USA,success
,,4696931017,epoxyfloored@yahoo.com,epoxy floored durable decorative surfaces,Melissa,Texas,https://epoxyfloored.com/,,mobile,AT&T Wireless,success
,,9738260729,info@e-poxycreativefloors.com,creative epoxy floor systems,Clifton,New Jersey,http://www.e-poxycreativefloors.com/,,nonFixedVoip,Google (Grand Central) - SVR,success
,,4692146510,info@blackhawkcoatings.com,blackhawk protective coatings,Heath,Texas,http://www.blackhawkcoatings.com/,,nonFixedVoip,Twilio - SMS/MMS-SVR,success
,,2144660216,Dallasepoxyguys@gmail.com,,,,https://www.facebook.com/pg/DallasEpoxyGuys,,mobile,T-Mobile USA,success
,,4699751679,seth@totalgaragesolutions.com,,,,http://totalgaragesolutions.com/%3Futm_source%3Dgoogle-gmb-maps%26utm_medium%3Dgmb-website-button%26utm_campaign%3Dlocl.io%26utm_content%3D98615449-89f6-420c-80f7-3ec143e451a0,,mobile,AT&T Wireless,success
