First Name,Last Name,Phone,Email,Company Name,City,State,Website,Tags,line_type,carrier,lookup_status
,,8173415160,,AC Genius AC Repair & Service,,,http://www.acgenius.com/,"mobile-verified,mobile-verified",mobile,Onvoy,success
,,2149237904,gilbert@jadeair.net,Jade Air,,,http://jadeair.net/,"mobile-verified,mobile-verified",mobile,AT&T Wireless,success
,,8178745513,Service@TexasDiscountAir.com,Texas Discount Air,,,http://www.texasdiscountair.com/,"mobile-verified,mobile-verified",mobile,T-Mobile USA,success
,,8178000340,,Fort Worth Heat and Air,,,https://www.fortworthheatandair.com/,"mobile-verified,mobile-verified",mobile,AT&T Wireless,success
,,8178887313,,Prime Time Heating And Air LLC,,,https://primetime-tx.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,"mobile-verified,mobile-verified",mobile,T-Mobile USA,success
Randy,Cody,2148949629,,"Cody & Sons Plumbing, Heating & Air",,,https://codyandsons.com/?utm_source=google&utm_medium=organic&utm_campaign=GMBListing-Dallas-TX,"mobile-verified,mobile-verified",mobile,Onvoy,success
Senior,Vice,2147427252,WatsonFae@salaair.com,Sala Air Conditioning,,,https://salaair.com/,"mobile-verified,mobile-verified",mobile,Onvoy,success
,,9727715987,,Appliance & Air Care Experts,,,https://www.applianceandaircare.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,"mobile-verified,mobile-verified",mobile,AT&T Wireless,success
,,8175001523,info@anmairconditioningheating.com,A & M Air Conditioning and Heating,,,https://anmairconditioningheating.com/,"mobile-verified,mobile-verified",mobile,T-Mobile USA,success
,,6823460054,infinityac.heat@gmail.com,Infinity Air Conditioning & Heating LLC,,,http://www.hvacinfinity.com/,"mobile-verified,mobile-verified",mobile,T-Mobile USA,success
,,4694878323,Contact@romaserviceshvac.com,Roma services HVAC,,,http://www.romaserviceshvac.com/,"mobile-verified,mobile-verified",mobile,AT&T Wireless,success
,,8178017084,info@ftwmg.com,Fort Worth Mechanical Group,,,http://www.fortworthmechanicalgroup.com/,"mobile-verified,mobile-verified",mobile,Verizon Wireless,success
Family,Owned,9722787111,,"Astar Air Conditioning, Plumbing & Electric",,,https://astardfw.com/,"mobile-verified,mobile-verified",mobile,Onvoy,success
Area,Home,4699211136,info@proactiveairconditioning.com,Proactive Air Conditioning,,,https://proactiveairconditioning.com/,"mobile-verified,mobile-verified",mobile,Verizon Wireless,success
,,9459987066,,Unlimited Air Conditioning and Heating,,,https://unlimitedairandheating.com/,"mobile-verified,mobile-verified",mobile,T-Mobile USA,success
,,4692681493,triplemhvacsolutions@gmail.com,,,,https://www.triplemairsolutions.com/,"mobile-verified,mobile-verified",mobile,AT&T Wireless,success
