First Name,Last Name,Phone,Email,Company Name,City,State,Website,Tags,line_type,carrier,lookup_status
,,6823054882,customer@pressedmassage.com,Pressed Massage Therapy,,,https://pressedmassage.com/,,mobile,T-Mobile USA,success
,,8173795511,info@meltspaandmassage.com,Melt Spa and Massage,,,http://www.meltspaandmassage.com/,,nonFixedVoip,Bandwidth/13 - Bandwidth.com - Infobip,success
,,4694930039,lvmns111@gmail.com,L V Massage & Spa,,,https://lvmassageandspa.com/,,mobile,T-Mobile USA,success
,,4698497252,amandaegeorge13@gmail.com,Unwind Massage Lounge,,,https://unwindmassageloungedallas.zoca.com/?utm_source=googlemaps&utm_medium=googlemaps&utm_campaign=googlemaps,,mobile,Verizon Wireless,success
,,9725142825,Kendahl@KendahlAirey.com,Kendahl Airey- DFW Massage Doctor,,,http://www.dfwmassagedoctor.com/,,mobile,AT&T Wireless,success
,,8179843788,press@thenowmassage.com,The NOW Massage Fort Worth Alliance,,,https://thenowmassage.com/fort-worth-alliance/,,nonFixedVoip,Vonage/Nexmo - Sinch,success
,,4699649745,lovers@oaktreemassagedallas.com,Oak Tree Massage,,,https://oaktreemassagedallas.com/,,mobile,Verizon Wireless,success
,,2142955679,press@thenowmassage.com,The NOW Massage Preston Forest,,,https://thenowmassage.com/preston-forest,,nonFixedVoip,Vonage/Nexmo - Sinch,success
,,2147646980,press@thenowmassage.com,The NOW Massage Lower Greenville,,,https://thenowmassage.com/lower-greenville/,,nonFixedVoip,Vonage/Nexmo - Sinch,success
,,2147829888,greenlotussallas02@gmail.com,Green Lotus Spa • Med Spa,,,https://greenlotusspadallas.zoca.com/?utm_source=googlemaps&utm_medium=googlemaps&utm_campaign=googlemaps,,fixedVoip,Charter Fiberlink,success
,,2149547444,kikismassagellc@gmail.com,Kiki's massage LLC.,,,https://kikismassagedallas.zoca.com/?utm_source=googlemaps&utm_medium=googlemaps&utm_campaign=googlemaps,,fixedVoip,Charter Fiberlink,success
,,9723457217,info@therapeuticspa-tx.com,Therapeutic Spa,,,http://www.therapeuticspa-tx.com/,,mobile,T-Mobile USA,success
,,2149066565,safeguarding@vagaro.com,Working Bodies Massage,,,http://www.vagaro.com/workingbodiesmassage,,mobile,T-Mobile USA,success
,,8552850305,restorewellnessstudio@gmail.com,Restore Wellness Studio,,,https://restorewellnessstudio.com/,,tollFree,,success
,,2149016742,founders@pocketsuite.io,MassageFit LLC,,,https://pocketsuite.io/link/massagefit,,mobile,T-Mobile USA,success
,,9723839193,musclemedic.tx@gmail.com,Muscle Medic,,,https://www.mymusclemedic.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=2010338812444129936,,nonFixedVoip,Google (Grand Central) - SVR,success
