First Name,Last Name,Phone,Email,Company Name,City,State,Website,Tags,line_type,carrier,lookup_status
,,6823054882,customer@pressedmassage.com,Pressed Massage Therapy,,,https://pressedmassage.com/,mobile-verified,mobile,T-Mobile USA,success
,,4694930039,lvmns111@gmail.com,L V Massage & Spa,,,https://lvmassageandspa.com/,mobile-verified,mobile,T-Mobile USA,success
,,4698497252,amandaegeorge13@gmail.com,Unwind Massage Lounge,,,https://unwindmassageloungedallas.zoca.com/?utm_source=googlemaps&utm_medium=googlemaps&utm_campaign=googlemaps,mobile-verified,mobile,Verizon Wireless,success
,,9725142825,Kendahl@KendahlAirey.com,Kendahl Airey- DFW Massage Doctor,,,http://www.dfwmassagedoctor.com/,mobile-verified,mobile,AT&T Wireless,success
,,4699649745,lovers@oaktreemassagedallas.com,Oak Tree Massage,,,https://oaktreemassagedallas.com/,mobile-verified,mobile,Verizon Wireless,success
,,9723457217,info@therapeuticspa-tx.com,Therapeutic Spa,,,http://www.therapeuticspa-tx.com/,mobile-verified,mobile,T-Mobile USA,success
,,2149066565,safeguarding@vagaro.com,Working Bodies Massage,,,http://www.vagaro.com/workingbodiesmassage,mobile-verified,mobile,T-Mobile USA,success
,,2149016742,founders@pocketsuite.io,MassageFit LLC,,,https://pocketsuite.io/link/massagefit,mobile-verified,mobile,T-Mobile USA,success
,,4694669712,corrindandridge@gmail.com,Honey Bee Massage and Wellness,,,https://honeybeemassagedallas.zoca.com/?utm_source=googlemaps&utm_medium=googlemaps&utm_campaign=googlemaps,mobile-verified,mobile,T-Mobile USA,success
,,2147732523,rowanalexander7@gmail.com,Massage is Wellness: In Studio and Mobile,,,https://massageiswellness.co/,mobile-verified,mobile,Verizon Wireless,success
,,4698354683,massagerefresh5616@gmail.com,Massage Refresh Health & Wellness,,,http://www.massagerefreshdallas.com/,mobile-verified,mobile,T-Mobile USA,success
,,9458996395,info@dantaraspa.com,Dantara Thai Wellness Spa @ Dallas,,,https://www.dantaraspa.com/,mobile-verified,mobile,Verizon Wireless,success
,,4693488696,info@toucheddtx.com,Touched Therapeutic Massage & Bodywork,,,http://www.toucheddtx.com/,mobile-verified,mobile,T-Mobile USA,success
,,2144002594,fabiola@essencemassagewellness.com,Essence Massage & Wellness,,,http://www.essencemassagewellness.com/,mobile-verified,mobile,T-Mobile USA,success
,,9258088222,,The Body Scrubbery,,,https://thebodyscrubberytexas.zoca.com/?utm_source=googlemaps&utm_medium=googlemaps&utm_campaign=googlemaps,mobile-verified,mobile,T-Mobile USA,success
,,8174288087,,Massage Express - Keller TX,,,https://massageexpresstx.com/,mobile-verified,mobile,Verizon Wireless,success
,,9722949598,,Oneway Relaxation,,,https://onewayrelaxation.as.me/,mobile-verified,mobile,T-Mobile USA,success
,,4694039471,,Massage8,,,http://www.txmassage8.com/?utm_source=Google+Business+&utm_medium=CPC&utm_campaign=Dallas+traffic&utm_id=Dallas,mobile-verified,mobile,AT&T Wireless,success
,,2282248315,,Massage Therapy by Angelly,,,https://www.massagebook.com/biz/massage_therapy_by_angelly,mobile-verified,mobile,AT&T Wireless,success
,,4694411820,,Tactical Therapeutics,,,https://thebodytellsnolies.com/,mobile-verified,mobile,AT&T Wireless,success
,,8177143333,,JOY Healthy Massage,,,https://localmassagespas.net/explore/joy-healthy-massage/,mobile-verified,mobile,T-Mobile USA,success
,,4698336621,,Texas Massage and Spa Dallas,,,https://texasmassageandspa.com/,mobile-verified,mobile,AT&T Wireless,success
,,2144844714,,Vivian's Boutique Spa,,,https://www.viviansdallas.com/,mobile-verified,mobile,Verizon Wireless,success
,,2146099201,,Massage 8,,,http://www.txmassage8.com/?utm_campaign=gmb&utm_id=plano&utm_medium=cpc&utm_source=google+business+,mobile-verified,mobile,AT&T Wireless,success
,,4696933887,,Zelene Head Spa Mansfield,,,https://zelenespa.com/,mobile-verified,mobile,Verizon Wireless,success
,,9496859266,,Uptown Thai Massage & Wellness,,,https://www.uptown-thaimassage.com/,mobile-verified,mobile,AT&T Wireless,success
,,6263669944,,Smiling Feet,,,,mobile-verified,mobile,T-Mobile USA,success
,,8177704409,,Niu Niu Foot Spa,,,http://www.niuniuspa.com/,mobile-verified,mobile,AT&T Wireless,success
,,9724570313,,Royalty Massage Spa,,,http://www.royaltymassagespa.com/,mobile-verified,mobile,Verizon Wireless,success
,,8175046480,,Total Touch Massage Therapy,,,https://totaltouchmassagetherapy.com/,mobile-verified,mobile,T-Mobile USA,success
,,6826672721,,Legend Massage,,,http://www.legendmassage.org/,mobile-verified,mobile,AT&T Wireless,success
,,2148929785,,Max Therapy Massage,,,https://maxtherapymassage.com/,mobile-verified,mobile,T-Mobile USA,success
