First Name,Last Name,Phone,Email,Company Name,City,State,Website,Tags,line_type,carrier,lookup_status
,,9727624636,,Bella MedSpa - Dallas MedSpa,,,http://www.bellamedspadfw.com/,mobile-verified,mobile,AT&T Wireless,success
,,2149090196,,Skin Glow Medspa,,,https://skinglow-medspa.com/,mobile-verified,mobile,AT&T Wireless,success
,,8173799937,,Hidden Door Medspa,,,http://www.hiddendoorspa.com/,mobile-verified,mobile,Onvoy,success
,,4696933887,,Zelene Head Spa Mansfield,,,https://zelenespa.com/,mobile-verified,mobile,Verizon Wireless,success
,,2149804371,,Bare Aesthetics Dallas,,,http://www.bareaestheticsdallas.com/,mobile-verified,mobile,Verizon Wireless,success
,,4695188195,,Ember Medical Spa,,,https://embermedspadallas.com/,mobile-verified,mobile,AT&T Wireless,success
,,9723317727,,Modern Medical Spa,,,http://www.modernmedicalspa.com/,mobile-verified,mobile,Onvoy,success
,,9258088222,,The Body Scrubbery,,,https://thebodyscrubberytexas.zoca.com/?utm_source=googlemaps&utm_medium=googlemaps&utm_campaign=googlemaps,mobile-verified,mobile,T-Mobile USA,success
,,8175466772,,The MedSpa of DFW,,,https://medspaofdfw.com/,mobile-verified,mobile,Onvoy,success
,,8172290014,,Bougie Aesthetics,,,https://www.bougieaesthetics.net/,mobile-verified,mobile,AT&T Wireless,success
,,4692799897,,DFW MEDICAL SPA,,,http://www.dfwmedspabeauty.com/,mobile-verified,mobile,Verizon Wireless,success
,,8179949804,,Skin Beauty Med Spa,,,http://www.skinbeautymedspa.com/,mobile-verified,mobile,Verizon Wireless,success
,,2144844714,,Vivian's Boutique Spa,,,https://www.viviansdallas.com/,mobile-verified,mobile,Verizon Wireless,success
,,9729082772,,Youthful Infusion Med Spa,,,https://www.youthfulinfusionmedspa.com/,mobile-verified,mobile,Verizon Wireless,success
,,9728972355,cloudninemedspa@gmail.com,Cloud9 Med Spa,,,https://cloudninemedspadfw.com/,mobile-verified,mobile,T-Mobile USA,success
,,4697554235,info@oneseventymedspa.com,One Seventy Med Spa,,,https://www.oneseventymedspa.com/,mobile-verified,mobile,AT&T Wireless,success
,,2147538650,prestonhollow@dermanimedspa.com,dermani MEDSPA Dallas (Preston Hollow),,,https://dermanimedspa.com/dallas-tx-preston-hollow/,mobile-verified,mobile,Onvoy,success
,,9727071200,uvillage@skinspirit.com,SkinSpirit Preston Royal - Dallas,,,https://www.skinspirit.com/locations/preston-royal/,mobile-verified,mobile,Onvoy,success
,,9728542267,Skinbylucymed@gmail.com,Skin by Lucy Med Spa,,,http://www.skinbylucy.com/,mobile-verified,mobile,T-Mobile USA,success
,,2147296299,Hello@sanctumwell.com,Sanctum Med + Wellness,,,https://www.sanctumwell.com/,mobile-verified,mobile,EZ Texting/2 - Sinch,success
,,4698294200,uvillage@skinspirit.com,SkinSpirit Plano,,,https://www.skinspirit.com/locations/plano/,mobile-verified,mobile,Onvoy,success
