First Name,Last Name,Phone,Email,Company Name,City,State,Website,Tags,line_type,carrier,lookup_status
,,4697783565,,Jansen Public Adjusters,,,https://www.jansenai.com/contact/office-locations/dallas-texas/,,nonFixedVoip,Twilio - SMS/MMS-SVR,success
,,4693516611,,ClaimsMate Public Adjusters,,,https://claimsmate.com/dallas-public-adjuster/,,nonFixedVoip,Twilio - SMS/MMS-SVR,success
,,2143965768,,Tutwiler & Associates Public Adjusters,,,https://www.publicadjuster.com/type-of-claim/frozen-pipe-claims,,nonFixedVoip,Bandwidth.com CLEC,success
,,2145010598,,"Abba Claims Consultants, LLC - Public Adjuster",,,https://www.abbaclaims.com/dallas-public-adjuster/,,fixedVoip,Level 3 Communications,success
,,4693235365,,ASSURANCE CLAIMS SERVICE CO,,,,,mobile,T-Mobile USA,success
,,8554568966,,Citizens Public Adjusters,,,https://www.citizenspublicadjusters.com/,,tollFree,Twilio - Toll-Free,success
,,9723433400,,Pilot Catastrophe Services Inc,,,https://www.pilotcat.com/,,nonFixedVoip,Onvoy/3 - Sinch,success
,,9037334664,,Adjuster Texas,,,http://www.adjustertexas.com/,,mobile,Verizon Wireless,success
,,2148089163,,True View Commercial,,,https://www.trueviewcommercial.com/,,nonFixedVoip,Twilio - SMS/MMS-SVR,success
,,4694239589,,Consumer Protection Public Adjusters Firm,,,https://www.cppafirm.com/,,nonFixedVoip,Twilio - SMS/MMS-SVR,success
,,2147706302,,Texas Claim Pro PA,,,https://www.txclaimpro.com/,,mobile,Verizon Wireless,success
,,8333125246,,Hope Public Adjusters,,,https://hopepublicadjusters.com/,,tollFree,,success
,,8177565482,,Auto Claim Specialists,,,http://www.autoclaimspecialists.com/,,nonFixedVoip,Twilio - SMS/MMS-SVR,success
,,8177868620,,Restoration Consulting,,,https://www.restorationpa.com/,,fixedVoip,Charter Fiberlink,success
,,4694552001,,APIA Source- Public Adjusters for the Insured,,,https://www.apiasource.com/,,nonFixedVoip,Bandwidth/RingCentral Messaging - Sinch,success
,,2142004878,,"Law Firm of Aaron A. Herbert, P.C.",,,https://injuryattorneyofdallas.com/?utm_source=Google+My+business&utm_medium=gmb&utm_campaign=google+my+business,,nonFixedVoip,Bandwidth/15 - Bandwidth.com - SVR,success
,,8178346079,,Dallas County Adjusters,,,,,landline,AT&T - PSTN,success
