First Name,Last Name,Phone,Email,Company Name,City,State,Website,Tags,line_type,carrier,lookup_status
,,8179912291,contact@getrestorationdfw.com,Get,,,http://www.getrestorationdfw.com/,"mobile-verified,mobile-verified",mobile,T-Mobile USA,success
Kendrick,,4699097055,cdfw@pauldavis.com,Paul Davis Restoration Central DFW,,,https://centraldfw.pauldavis.com/,"mobile-verified,mobile-verified",mobile,Verizon Wireless,success
,,4698857663,,New Armor,,,https://www.newarmorrestoration.com/,"mobile-verified,mobile-verified",mobile,T-Mobile USA,success
,,2144635880,,SERVPRO of Southwest Dallas,,,https://www.servpro.com/locations/tx/servpro-of-southwest-dallas?utm_medium=organic&utm_source=gbp,"mobile-verified,mobile-verified",mobile,AT&T Wireless,success
,,9453016446,office@redbirdresto.com,Red Bird Restoration LLC,,,https://redbirdresto.com/,"mobile-verified,mobile-verified",mobile,Verizon Wireless,success
Meet,,9722178245,webmaster@911restoration.com,911 Restoration of Dallas,,,https://www.911restorationdallas.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb,"mobile-verified,mobile-verified",mobile,Onvoy,success
,,2148097350,,MRC Water Restoration + Construction,,,http://mrcusa.com/,"mobile-verified,mobile-verified",mobile,AT&T Wireless,success
Commercial,,4693982841,,911 Restoration of East Dallas,,,https://911restorationeastdallas.com/,"mobile-verified,mobile-verified",mobile,Onvoy,success
,,8179733996,,SERVPRO of Southwest Fort Worth,,,https://www.servpro.com/locations/tx/servpro-of-southwest-fort-worth?utm_medium=organic&utm_source=gbp,"mobile-verified,mobile-verified",mobile,Onvoy,success
,,8177094188,mvprestoration858@gmail.com,MVP Restorations,,,https://mvprestorationdfw.com/?utm_source=omg-gbp&utm_medium=webclick,"mobile-verified,mobile-verified",mobile,AT&T Wireless,success
,,8172323333,,SERVPRO of North Fort Worth,,,https://www.servpro.com/locations/tx/servpro-of-north-fort-worth?utm_medium=organic&utm_source=gbp,"mobile-verified,mobile-verified",mobile,Verizon Wireless,success
,,8179736350,,SERVPRO of Lake Arlington,,,https://www.servpro.com/locations/tx/servpro-of-lake-arlington?utm_medium=organic&utm_source=gbp,"mobile-verified,mobile-verified",mobile,Onvoy,success
,,8179734106,,SERVPRO of Downtown Fort Worth / Team Nicholson,,,https://www.servpro.com/locations/tx/servpro-of-downtown-fort-worth-team-nicholson?utm_medium=organic&utm_source=gbp,"mobile-verified,mobile-verified",mobile,Onvoy,success
,,6828086569,,"SERVPRO of South Central Fort Worth, Edgecliff Village",,,https://www.servpro.com/locations/tx/servpro-of-south-central-fort-worth-edgecliff-village?utm_medium=organic&utm_source=gbp,"mobile-verified,mobile-verified",mobile,Onvoy,success
To,,6822190320,,Jenkins Restorations,,,https://jenkinsrestorations.com/dallas-texas/?utm_source=Google+my+Business&utm_medium=Organic+Search&utm_campaign=GMB+Dallas,"mobile-verified,mobile-verified",mobile,Onvoy,success
,,8179194686,,Perfect Timing Restoration,,,http://perfecttimingrestoration.com/,"mobile-verified,mobile-verified",mobile,AT&T Wireless,success
