Company Name,Phone,Phone_Carrier_Type,Phone_Carrier_Name,Email,Email_Status,Website,Contact_Name,First Name,Last Name,Contact_Title,Contact_Phone,Contact_Phone_Type,Company_Phone,Company_Phone_Type,Street,City,State,State_Code,Zip,Google_Rating,Google_Reviews,Employees,Revenue,Founded,LinkedIn,Facebook,Instagram,Domain,Category,Subtypes,Google_Verified,Business_Status,About,Tags,Source
Colin Smith Law PLLC,9727739095,nonFixedVoip,Sinch/5 A2P - Sinch,admin@colinsmithlaw.com,,http://colinsmithlaw.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old_master
"Pyke, Balen, & Moncure, P.C.",2148660133,nonFixedVoip,Telnyx - Windstream - SVR,info@dallasprobatelaw.com,,http://www.dallasprobatelaw.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old_master
"Gonzalez Law, PLLC",8173497330,mobile,Onvoy,inquiry@jagonzalezlaw.com,,https://www.jagonzalezlaw.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
"Silberman Law Firm, PLLC",2143072840,mobile,Onvoy,info@silblawfirm.com,,http://silblawfirm.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
"The Law Office of Ronald Rohde, PLLC",9726199903,nonFixedVoip,VOIP.MS P2P - Bandwidth - SVR,info@ronaldrohdelaw.com,,http://ronaldrohdelaw.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old_master
Turkett Law Office,8177692750,nonFixedVoip,Bandwidth/RingCentral Messaging - Sinch,info@turkettlaw.com,,https://turkettlaw.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old_master
David Small Law PLLC,6825931120,nonFixedVoip,Twilio - SMS/MMS-SVR,david@davidsmalllaw.com,,http://www.davidsmalllaw.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old_master
Bailey & Galyen Attorneys at Law,8174382121,nonFixedVoip,Twilio - SMS/MMS-SVR,callcenter@thetexasattorney.com,,https://www.thetexasattorney.com/office-locations/fort-worth-summit/?utm_source=google&utm_medium=organic&utm_campaign=GBP_Fort_Worth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old_master
"The Law Offices of David W. Sheves, PLLC",9728633940,landline,AT&T - PSTN,sheveslawoffice@gmail.com,,https://www.sheveslaw.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old_master
Bailey & Galyen Attorneys at Law,9724491241,nonFixedVoip,Twilio - SMS/MMS-SVR,callcenter@thetexasattorney.com,,https://www.thetexasattorney.com/office-locations/dallas/?utm_source=google&utm_medium=organic&utm_campaign=GBP_Dallas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old_master
"Michelle Simpson Law, PLLC",8179844355,nonFixedVoip,Vonage America LLC,attorneymichellesimpson@gmail.com,,https://www.michellesimpsonlaw.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old_master
Martin Lawyers PLLC,6827072999,mobile,Onvoy,info@martinlawyers.com,,http://www.martinlawyers.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
"Comer Law Group, PLLC",2144604663,nonFixedVoip,Telnyx - Windstream - SVR,info@comerlawgroup.com,,https://comerlawgroup.com/?gclid=test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old_master
Bailey & Galyen Attorneys at Law,8177523155,nonFixedVoip,Twilio - SMS/MMS-SVR,callcenter@thetexasattorney.com,,https://www.thetexasattorney.com/office-locations/arlington-2216-s-cooper/?utm_source=google&utm_medium=organic&utm_campaign=GBP_2216_S_Cooper_St,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old_master
The Nguyen Law Firm,8174579540,landline,AT&T - PSTN,peter@thenguyenlawfirm.com,,http://thenguyenlawfirm.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old_master
Whitaker Chalk Swindle & Schwartz PLLC,8178780500,fixedVoip,tw telecom inc.,operations@whitakerchalk.com,,https://www.whitakerchalk.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old_master
Huhem Law Firm PLLC,8178511354,nonFixedVoip,Vonage/Nexmo - Sinch,service@huhemlaw.com,,http://www.huhemlaw.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old_master
"Law office of Leonid Murashkovskiy, P.L.L.C.",9723805630,nonFixedVoip,Bandwidth/13 - Bandwidth.com - Infobip,info@murashkovskiy.com,,http://www.murashkovskiy.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old_master
"Atwood & McCall, PLLC",9726659600,nonFixedVoip,Telnyx - Windstream - SVR,contact@atwoodmccall.com,,http://atwoodmccall.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old_master
Clifton Coufal Law Firm,8883533703,tollFree,,lawoffice@cclawtexas.com,,http://cclawtexas.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old_master
Kelly Hart & Hallman LLP,8173322500,nonFixedVoip,Onvoy/3 - Sinch,chris.ponder@kellyhart.com,,http://kellyhart.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old_master
"Law Office of Andrew Gore, PLLC",4692504586,fixedVoip,Charter Fiberlink,Andrew@AndrewGoreLaw.com,,http://www.andrewgorelaw.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old_master
Burch Law,9724573172,nonFixedVoip,Twilio - SMS/MMS-SVR,,,https://burch-law.com/?utm_campaign=gmb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old_master
Holman Law,9724747828,mobile,Onvoy,,,https://holmanlawllp.com/?utm_campaign=gmb,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
