Company Name,Phone,Phone_Carrier_Type,Phone_Carrier_Name,Email,Email_Status,Website,Contact_Name,First Name,Last Name,Contact_Title,Contact_Phone,Contact_Phone_Type,Company_Phone,Company_Phone_Type,Street,City,State,State_Code,Zip,Google_Rating,Google_Reviews,Employees,Revenue,Founded,LinkedIn,Facebook,Instagram,Domain,Category,Subtypes,Google_Verified,Business_Status,About,Tags,Source
Custom Concrete & Construction,+1 214-632-9408,mobile,"NEW CINGULAR WIRELESS PCS, LLC - IL",john@customconcretetx.net,RECEIVING,https://www.customconcretetx.net/,,,,,,,2146329408,mobile,,,,,,4.7,13,,,,,https://www.facebook.com/CustomConcreteandConstruction/,,customconcretetx.net,Concrete contractor,"Concrete contractor, Service establishment",True,OPERATIONAL,,"outscraper-raw,foundation_repair,mobile-verified",outscraper
Evolution Construction Concrete LLC,+1 541-778-5603,mobile,"NEW CINGULAR WIRELESS PCS, LLC",franciscochaparro0925@gmail.com,RECEIVING,http://estradaconstructiontx.com/,,,,,,,,,,,,,,,,,,,,,,estradaconstructiontx.com,Concrete contractor,"Concrete contractor, Service establishment",True,OPERATIONAL,,"outscraper-raw,foundation_repair,mobile-verified",outscraper
Roltex Concrete LLC - Driveways & Concrete Pouring Services,+1 903-413-5063,mobile,"NEW CINGULAR WIRELESS PCS, LLC - IL",info@roltexconcretellc.com,RECEIVING,http://www.roltexconcretellc.com/,,,,,,,9034135063,mobile,,,,,,5,7,,,,,https://www.facebook.com/roltexconcrete,https://www.instagram.com/roltexconcrete,roltexconcretellc.com,Concrete contractor,"Concrete contractor, Service establishment",True,OPERATIONAL,,"outscraper-raw,foundation_repair,mobile-verified",outscraper
Kidd's Exterior Solutions,+1 469-601-8771,mobile,"NEW CINGULAR WIRELESS PCS, LLC - IL",,,,,,,,,,,,,,,,,5,11,,,,,,,,Concrete contractor,"Concrete contractor, Service establishment",True,OPERATIONAL,"{""Service options"": {""Online estimates"": true}}","outscraper-raw,foundation_repair,mobile-verified",outscraper
JCK Concrete Inc.,+1 469-338-7666,mobile,T-Mobile,jckreceivables@jckcorporate.net,RECEIVING,http://www.jckconcrete.net/,,,,,,,2149828842,mobile,262 Co Rd 911,Royse City,Texas,TX,75189,4.8,14,,,,,,,jckconcrete.net,Concrete contractor,"Concrete contractor, Construction company",True,OPERATIONAL,,"outscraper-raw,foundation_repair,mobile-verified",outscraper
JCK Concrete Inc.,+1 469-338-7666,mobile,T-Mobile,jckpayables@jckcorporate.net,RECEIVING,http://www.jckconcrete.net/,,,,,,,2149828842,mobile,262 Co Rd 911,Royse City,Texas,TX,75189,4.8,14,,,,,,,jckconcrete.net,Concrete contractor,"Concrete contractor, Construction company",True,OPERATIONAL,,"outscraper-raw,foundation_repair,mobile-verified",outscraper
JCK Concrete Inc.,+1 469-338-7666,mobile,T-Mobile,cesar.b@jckcorporate.net,RECEIVING,http://www.jckconcrete.net/,,,,,,,2149828842,mobile,262 Co Rd 911,Royse City,Texas,TX,75189,4.8,14,,,,,,,jckconcrete.net,Concrete contractor,"Concrete contractor, Construction company",True,OPERATIONAL,,"outscraper-raw,foundation_repair,mobile-verified",outscraper
Collin County Concrete,+1 214-402-0027,mobile,T-Mobile USA,services@collincountyconcrete.com,INVALID,https://collincountyconcrete.com/,,,,,,,,,714 Chandler Ct,Allen,Texas,TX,75002,5,25,,,,,,,collincountyconcrete.com,Concrete contractor,Concrete contractor,True,OPERATIONAL,,"outscraper-raw,foundation_repair,mobile-verified",outscraper
Masterpiece Concrete LLC,+1 305-490-2168,mobile,T-Mobile USA,masterpiececoncrete@hotmail.com,RECEIVING,https://www.masterpiececoncretecompany.com/,,,,,,,13054902168,mobile,,,,,,5,36,,,,,https://www.facebook.com/people/Masterpiece-Concrete-LLC/100064064707891/?mibextid=LQQJ4d,,masterpiececoncretecompany.com,Empresa de hormigonado,"Concrete contractor, Service establishment",True,OPERATIONAL,"{""Service options"": {""Online estimates"": true, ""Language assistance"": ""English, French, Spanish""}}","outscraper-raw,foundation_repair,mobile-verified",outscraper
Wylie concrete repairs,+1 214-500-6924,mobile,"NEW CINGULAR WIRELESS PCS, LLC - IL",,,,,,,,,,,,,,,,,5,9,,,,,,,,Concrete contractor,"Concrete contractor, Service establishment",True,OPERATIONAL,,"outscraper-raw,foundation_repair,mobile-verified",outscraper
Vera's Outdoor Solutions LLC,+1 469-888-2824,mobile,"T-MOBILE USA, INC.",jericovera145@gmail.com,RECEIVING,https://verasoutdoorsolutions.com/,,,,,,,14698882824,mobile,,,,,,4.9,63,,,,,,,verasoutdoorsolutions.com,Landscaper,"Landscaper, Service establishment",True,OPERATIONAL,"{""Service options"": {""Online estimates"": true}}","outscraper-raw,foundation_repair,mobile-verified",outscraper
Zuniga Concrete - Residential & Commercial Concrete,+1 972-214-5814,mobile,"NEW CINGULAR WIRELESS PCS, LLC - IL",,,,,,,,,,,,,,,,,,,,,,,,,,Concrete contractor,"Concrete contractor, Service establishment",True,OPERATIONAL,,"outscraper-raw,foundation_repair,mobile-verified",outscraper
Extreme Concrete Construction LLC,+1 214-606-0727,mobile,"NEW CINGULAR WIRELESS PCS, LLC - IL",bids@extremeconcreteconstructionllc.com,RECEIVING,http://www.extremeconcreteconstructionllc.com/,,,,,,,12146060727,mobile,102 W Broad St Unit 163,Forney,Texas,TX,75126,4.7,22,,,,,https://www.facebook.com/ExtremeConcreteConstructionLLC/posts/1339294666807157:1339294666807157/,,extremeconcreteconstructionllc.com,Concrete contractor,"Concrete contractor, General contractor",True,OPERATIONAL,"{""From the business"": {""Identifies as Black-owned"": true, ""Identifies as women-owned"": true}, ""Service options"": {""Online estimates"": true, ""Onsite services"": true}, ""Other"": {""Identifies as Black-owned"": true, ""Identifies as women-owned"": true}}","outscraper-raw,foundation_repair,mobile-verified",outscraper
Delgado's & Sons Enterprises,+1 469-867-8816,mobile,"T-MOBILE USA, INC.",,,,,,,,,,,,,,,,,2.7,7,,,,,,,,Concrete contractor,"Concrete contractor, Construction company, Service establishment, General contractor, Masonry contractor",True,OPERATIONAL,,"outscraper-raw,foundation_repair,mobile-verified",outscraper
8 brother’s Concrete construction,+1 469-999-8547,mobile,Evolve Cellular Inc.,8bconcrete@gmail.com,RECEIVING,,,,,,,,4699998547,mobile,5581 Co Rd 2526,Royse City,Texas,TX,75189,5,6,,,,,https://www.facebook.com/people/8brothers-concrete-construction/61556361265295/,,,Concrete contractor,Concrete contractor,False,OPERATIONAL,,"outscraper-raw,foundation_repair,mobile-verified",outscraper
"TCC Construction Co, LLC (Rockwall)",+1 214-908-7432,mobile,"NEW CINGULAR WIRELESS PCS, LLC - IL",samuel.tully@yahoo.com,RECEIVING,http://www.tcctex.com/home/rockwall-location/,,,,,,,,,1435 E Quail Run Rd,Rockwall,Texas,TX,75087,4.7,13,,,,,https://www.facebook.com/TCCTEX/,,tcctex.com,Roofing contractor,"Concrete contractor, Roofing contractor, Fence contractor, General contractor",True,OPERATIONAL,,"outscraper-raw,foundation_repair,mobile-verified",outscraper
"TCC Construction Co, LLC (Rockwall)",+1 214-908-7432,mobile,"NEW CINGULAR WIRELESS PCS, LLC - IL",boss@tcctex.com,RECEIVING,http://www.tcctex.com/home/rockwall-location/,,,,,,,,,1435 E Quail Run Rd,Rockwall,Texas,TX,75087,4.7,13,,,,,https://www.facebook.com/TCCTEX/,,tcctex.com,Roofing contractor,"Concrete contractor, Roofing contractor, Fence contractor, General contractor",True,OPERATIONAL,,"outscraper-raw,foundation_repair,mobile-verified",outscraper
"TCC Construction Co, LLC (Rockwall)",+1 214-908-7432,mobile,"NEW CINGULAR WIRELESS PCS, LLC - IL",joseph@tcctex.com,RECEIVING,http://www.tcctex.com/home/rockwall-location/,,,,,,,,,1435 E Quail Run Rd,Rockwall,Texas,TX,75087,4.7,13,,,,,https://www.facebook.com/TCCTEX/,,tcctex.com,Roofing contractor,"Concrete contractor, Roofing contractor, Fence contractor, General contractor",True,OPERATIONAL,,"outscraper-raw,foundation_repair,mobile-verified",outscraper
Concrete Resurfacing Specialist,+1 214-364-5008,mobile,"NEW CINGULAR WIRELESS PCS, LLC - IL",info@txcrs.com,INVALID,https://txcrs.com/,,,,,,,2143645008,mobile,,,,,,5,12,,,,,https://www.facebook.com/crsoverlay,https://www.instagram.com/crsoverlay,txcrs.com,Concrete contractor,"Concrete contractor, Service establishment, Floor refinishing service, Flooring contractor",True,OPERATIONAL,,"outscraper-raw,foundation_repair,mobile-verified",outscraper
