Company Name,Phone,Phone_Carrier_Type,Phone_Carrier_Name,Email,Email_Status,Website,Contact_Name,First Name,Last Name,Contact_Title,Contact_Phone,Contact_Phone_Type,Company_Phone,Company_Phone_Type,Street,City,State,State_Code,Zip,Google_Rating,Google_Reviews,Employees,Revenue,Founded,LinkedIn,Facebook,Instagram,Domain,Category,Subtypes,Google_Verified,Business_Status,About,Tags,Source
,9034537001,mobile,Verizon Wireless,meghan.mcmichael@townsquareinteractive.com,,http://texasmetalsandcontracting.com/%3Futm_source%3Dorganic%26utm_medium%3Dgoogle_my_business%26utm_id%3Dgoogle,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
,2144824496,mobile,Verizon Wireless,info@fredoniaoutdoorservices.com,,http://fredoniaoutdoorservices.com/,,,,,,,,,,Rockwall,Texas,,,,,,,,,,,,,,,,,mobile-verified,old_master
rockwall contractors inc,9727629502,mobile,T-Mobile USA,ecastro@rockwallcontractors.com,,https://www.rockwallcontractors.com/,,,,,,,,,,Rockwall,Texas,,,,,,,,,,,,,,,,,mobile-verified,old_master
,4698318810,mobile,T-Mobile USA,info@jjgeneralcontractor.net,,http://www.jjgeneralcontractors.net/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
true steel construction llc,9172049870,mobile,T-Mobile USA,truesteelconstruction@gmail.com,,https://www.truesteelconstruction.com/,,,,,,,,,,Newark,New Jersey,,,,,,,,,,,,,,,,,mobile-verified,old_master
,4699102997,mobile,AT&T Wireless,justin@waynecolecontracting.com,,https://www.waynecolecontracting.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
,2145077239,mobile,AT&T Wireless,sales@ftxpoolsandconstruction.com,,http://famoustxpoolsandconstruction.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
tcb construction,2147082685,mobile,AT&T Wireless,dbarnett@tcbconstructiongroup.com,,http://tcbconstructiongroup.com/,,Dominique,,,,,,,,Rockwall,Texas,,,,,,,,,,,,,,,,,mobile-verified,old_master
,2143173758,mobile,Verizon Wireless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
,2142806145,mobile,T-Mobile USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
,9034534182,mobile,AT&T Wireless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
,9728903681,mobile,Verizon Wireless,,,,,,,,,,,,,Plano,Texas,,,,,,,,,,,,,,,,,mobile-verified,old_master
,8175044537,mobile,AT&T Wireless,,,,,,,,,,,,,Royse City,Texas,,,,,,,,,,,,,,,,,mobile-verified,old_master
,7404822313,mobile,Verizon Wireless,,,https://www.stigerprecast.com/,,,,,,,,,,Nevada,Ohio,,,,,,,,,,,,,,,,,mobile-verified,old_master
,2147339728,mobile,T-Mobile USA,micah@micahrich.com,,http://cfweldingandfab.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
,6824980505,mobile,Verizon Wireless,ecoheavyequipment@gmail.com,,https://ecoheavyequipmentrepair.com/,,,,,,,,,,Lake Dallas,Texas,,,,,,,,,,,,,,,,,mobile-verified,old_master
,4698639726,mobile,AT&T Wireless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
,7756251525,mobile,Verizon Wireless,,,,,,,,,,,,,Winnemucca,Nevada,,,,,,,,,,,,,,,,,mobile-verified,old_master
ForeverLawn Texas,2142063920,mobile,AT&T Wireless,npavey14@gmail.com,,http://www.foreverlawntexas.com/,,Nick,,,,,,,,Richardson,TX,,,,,,,,,,,,,,,,,mobile-verified,old_master
Total Garage Solutions LLC,4699751679,mobile,AT&T Wireless,seth@totalgaragesolutions.com,,http://totalgaragesolutions.com/%3Futm_source%3Dgoogle-gmb-maps%26utm_medium%3Dgmb-website-button%26utm_campaign%3Dlocl.io%26utm_content%3D98615449-89f6-420c-80f7-3ec143e451a0,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
Splash Pad Pool Builder,2149717665,mobile,Onvoy,info@splashpadpoolbuilder.com,,https://splashpadpoolbuilder.com/,,,,,,,,,,Royse City,TX,,,,,,,,,,,,,,,,,mobile-verified,old_master
