Company Name,Phone,Phone_Carrier_Type,Phone_Carrier_Name,Email,Email_Status,Website,Contact_Name,First Name,Last Name,Contact_Title,Contact_Phone,Contact_Phone_Type,Company_Phone,Company_Phone_Type,Street,City,State,State_Code,Zip,Google_Rating,Google_Reviews,Employees,Revenue,Founded,LinkedIn,Facebook,Instagram,Domain,Category,Subtypes,Google_Verified,Business_Status,About,Tags,Source
AC Genius AC Repair & Service,8173415160,mobile,Onvoy,,,http://www.acgenius.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
Jade Air,2149237904,mobile,AT&T Wireless,gilbert@jadeair.net,,http://jadeair.net/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
Texas Discount Air,8178745513,mobile,T-Mobile USA,Service@TexasDiscountAir.com,,http://www.texasdiscountair.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
Fort Worth Heat and Air,8178000340,mobile,AT&T Wireless,,,https://www.fortworthheatandair.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
Prime Time Heating And Air LLC,8178887313,mobile,T-Mobile USA,,,https://primetime-tx.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
"Cody & Sons Plumbing, Heating & Air",2148949629,mobile,Onvoy,,,https://codyandsons.com/?utm_source=google&utm_medium=organic&utm_campaign=GMBListing-Dallas-TX,,Randy,Cody,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
Sala Air Conditioning,2147427252,mobile,Onvoy,WatsonFae@salaair.com,,https://salaair.com/,,Senior,Vice,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
Appliance & Air Care Experts,9727715987,mobile,AT&T Wireless,,,https://www.applianceandaircare.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
A & M Air Conditioning and Heating,8175001523,mobile,T-Mobile USA,info@anmairconditioningheating.com,,https://anmairconditioningheating.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
Infinity Air Conditioning & Heating LLC,6823460054,mobile,T-Mobile USA,infinityac.heat@gmail.com,,http://www.hvacinfinity.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
Roma services HVAC,4694878323,mobile,AT&T Wireless,Contact@romaserviceshvac.com,,http://www.romaserviceshvac.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
Fort Worth Mechanical Group,8178017084,mobile,Verizon Wireless,info@ftwmg.com,,http://www.fortworthmechanicalgroup.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
"Astar Air Conditioning, Plumbing & Electric",9722787111,mobile,Onvoy,,,https://astardfw.com/,,Family,Owned,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
Proactive Air Conditioning,4699211136,mobile,Verizon Wireless,info@proactiveairconditioning.com,,https://proactiveairconditioning.com/,,Area,Home,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
Unlimited Air Conditioning and Heating,9459987066,mobile,T-Mobile USA,,,https://unlimitedairandheating.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
,4692681493,mobile,AT&T Wireless,triplemhvacsolutions@gmail.com,,https://www.triplemairsolutions.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
AC Genius AC Repair & Service,8173415160,mobile,Onvoy,,,http://www.acgenius.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
Jade Air,2149237904,mobile,AT&T Wireless,gilbert@jadeair.net,,http://jadeair.net/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
Texas Discount Air,8178745513,mobile,T-Mobile USA,Service@TexasDiscountAir.com,,http://www.texasdiscountair.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
Fort Worth Heat and Air,8178000340,mobile,AT&T Wireless,,,https://www.fortworthheatandair.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
Prime Time Heating And Air LLC,8178887313,mobile,T-Mobile USA,,,https://primetime-tx.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
"Cody & Sons Plumbing, Heating & Air",2148949629,mobile,Onvoy,,,https://codyandsons.com/?utm_source=google&utm_medium=organic&utm_campaign=GMBListing-Dallas-TX,,Randy,Cody,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
Sala Air Conditioning,2147427252,mobile,Onvoy,WatsonFae@salaair.com,,https://salaair.com/,,Senior,Vice,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
Appliance & Air Care Experts,9727715987,mobile,AT&T Wireless,,,https://www.applianceandaircare.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
A & M Air Conditioning and Heating,8175001523,mobile,T-Mobile USA,info@anmairconditioningheating.com,,https://anmairconditioningheating.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
Infinity Air Conditioning & Heating LLC,6823460054,mobile,T-Mobile USA,infinityac.heat@gmail.com,,http://www.hvacinfinity.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
Roma services HVAC,4694878323,mobile,AT&T Wireless,Contact@romaserviceshvac.com,,http://www.romaserviceshvac.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
Fort Worth Mechanical Group,8178017084,mobile,Verizon Wireless,info@ftwmg.com,,http://www.fortworthmechanicalgroup.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
"Astar Air Conditioning, Plumbing & Electric",9722787111,mobile,Onvoy,,,https://astardfw.com/,,Family,Owned,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
Proactive Air Conditioning,4699211136,mobile,Verizon Wireless,info@proactiveairconditioning.com,,https://proactiveairconditioning.com/,,Area,Home,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
Unlimited Air Conditioning and Heating,9459987066,mobile,T-Mobile USA,,,https://unlimitedairandheating.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
,4692681493,mobile,AT&T Wireless,triplemhvacsolutions@gmail.com,,https://www.triplemairsolutions.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
