Company Name,Phone,Phone_Carrier_Type,Phone_Carrier_Name,Email,Email_Status,Website,Contact_Name,First Name,Last Name,Contact_Title,Contact_Phone,Contact_Phone_Type,Company_Phone,Company_Phone_Type,Street,City,State,State_Code,Zip,Google_Rating,Google_Reviews,Employees,Revenue,Founded,LinkedIn,Facebook,Instagram,Domain,Category,Subtypes,Google_Verified,Business_Status,About,Tags,Source
Pressed Massage Therapy,6823054882,mobile,T-Mobile USA,customer@pressedmassage.com,,https://pressedmassage.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
Melt Spa and Massage,8173795511,nonFixedVoip,Bandwidth/13 - Bandwidth.com - Infobip,info@meltspaandmassage.com,,http://www.meltspaandmassage.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old_master
L V Massage & Spa,4694930039,mobile,T-Mobile USA,lvmns111@gmail.com,,https://lvmassageandspa.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
Unwind Massage Lounge,4698497252,mobile,Verizon Wireless,amandaegeorge13@gmail.com,,https://unwindmassageloungedallas.zoca.com/?utm_source=googlemaps&utm_medium=googlemaps&utm_campaign=googlemaps,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
Kendahl Airey- DFW Massage Doctor,9725142825,mobile,AT&T Wireless,Kendahl@KendahlAirey.com,,http://www.dfwmassagedoctor.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
The NOW Massage Fort Worth Alliance,8179843788,nonFixedVoip,Vonage/Nexmo - Sinch,press@thenowmassage.com,,https://thenowmassage.com/fort-worth-alliance/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old_master
Oak Tree Massage,4699649745,mobile,Verizon Wireless,lovers@oaktreemassagedallas.com,,https://oaktreemassagedallas.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
The NOW Massage Preston Forest,2142955679,nonFixedVoip,Vonage/Nexmo - Sinch,press@thenowmassage.com,,https://thenowmassage.com/preston-forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old_master
The NOW Massage Lower Greenville,2147646980,nonFixedVoip,Vonage/Nexmo - Sinch,press@thenowmassage.com,,https://thenowmassage.com/lower-greenville/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old_master
Green Lotus Spa • Med Spa,2147829888,fixedVoip,Charter Fiberlink,greenlotussallas02@gmail.com,,https://greenlotusspadallas.zoca.com/?utm_source=googlemaps&utm_medium=googlemaps&utm_campaign=googlemaps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old_master
Kiki's massage LLC.,2149547444,fixedVoip,Charter Fiberlink,kikismassagellc@gmail.com,,https://kikismassagedallas.zoca.com/?utm_source=googlemaps&utm_medium=googlemaps&utm_campaign=googlemaps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old_master
Therapeutic Spa,9723457217,mobile,T-Mobile USA,info@therapeuticspa-tx.com,,http://www.therapeuticspa-tx.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
Working Bodies Massage,2149066565,mobile,T-Mobile USA,safeguarding@vagaro.com,,http://www.vagaro.com/workingbodiesmassage,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
Restore Wellness Studio,8552850305,tollFree,,restorewellnessstudio@gmail.com,,https://restorewellnessstudio.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old_master
MassageFit LLC,2149016742,mobile,T-Mobile USA,founders@pocketsuite.io,,https://pocketsuite.io/link/massagefit,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
Muscle Medic,9723839193,nonFixedVoip,Google (Grand Central) - SVR,musclemedic.tx@gmail.com,,https://www.mymusclemedic.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=2010338812444129936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old_master
Honey Bee Massage and Wellness,4694669712,mobile,T-Mobile USA,corrindandridge@gmail.com,,https://honeybeemassagedallas.zoca.com/?utm_source=googlemaps&utm_medium=googlemaps&utm_campaign=googlemaps,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
Massage is Wellness: In Studio and Mobile,2147732523,mobile,Verizon Wireless,rowanalexander7@gmail.com,,https://massageiswellness.co/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
Massage Refresh Health & Wellness,4698354683,mobile,T-Mobile USA,massagerefresh5616@gmail.com,,http://www.massagerefreshdallas.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
Wellness from Siam,4699199199,nonFixedVoip,Onvoy/4 - Sinch,serenity@wellnessfromsiam.com,,https://www.wellnessfromsiam.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old_master
Dantara Thai Wellness Spa @ Dallas,9458996395,mobile,Verizon Wireless,info@dantaraspa.com,,https://www.dantaraspa.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
Touched Therapeutic Massage & Bodywork,4693488696,mobile,T-Mobile USA,info@toucheddtx.com,,http://www.toucheddtx.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
Essence Massage & Wellness,2144002594,mobile,T-Mobile USA,fabiola@essencemassagewellness.com,,http://www.essencemassagewellness.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
Green Lotus Spa,4699414555,fixedVoip,Charter Fiberlink,,,https://greenlotusspa.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old_master
The Body Scrubbery,9258088222,mobile,T-Mobile USA,,,https://thebodyscrubberytexas.zoca.com/?utm_source=googlemaps&utm_medium=googlemaps&utm_campaign=googlemaps,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
Parkway Therapy Massage,9727333379,nonFixedVoip,1st Point - 1st Point Communications - Sinch,,,http://parkwaymassage.wixsite.com/75287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old_master
Riviera Spa - Uptown Knox Travis Walk,2145212112,nonFixedVoip,Bandwidth/13 - Bandwidth.com - Infobip,,,https://rivieraspadallas.com/?utm_source=google&utm_medium=biz-profile&utm_campaign=gbp-main&utm_term=uptown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old_master
King Finger Spa Massage,6827085589,fixedVoip,Charter Fiberlink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old_master
Fossil Creek Massage Therapy,8172328441,fixedVoip,Charter Fiberlink,,,https://fossilcreekmassage.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old_master
Massage Express - Keller TX,8174288087,mobile,Verizon Wireless,,,https://massageexpresstx.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
118 Massage,8173796800,fixedVoip,Charter Fiberlink,,,http://www.118massagefortworth.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old_master
The Nook Spa,9722678424,nonFixedVoip,Twilio - SMS/MMS-SVR,,,https://thenookspa.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old_master
Serenity Massage Plus Wellness And Recovery LLC,9402802621,nonFixedVoip,Pinger - Bandwidth.com - Sinch,,,https://www.serenitywellnessdfw.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old_master
Life Force Massage,9452220155,nonFixedVoip,YMax Communications - YMax Communications - SVR,,,https://lifeforcemassagespa.onbuildhealth.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old_master
Massage Felax and Spa - Addison,9723857109,fixedVoip,Charter Fiberlink,,,http://www.spafelax.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old_master
Oneway Relaxation,9722949598,mobile,T-Mobile USA,,,https://onewayrelaxation.as.me/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
Spa Here,4696483398,fixedVoip,Level 3 Communications,,,https://www.spaherewellness.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old_master
Rice Massage Therapy - Therapeutic Sports Medical,8176876699,nonFixedVoip,Twilio - SMS/MMS-SVR,,,https://www.ricemassagetherapy.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old_master
Massage8,4694039471,mobile,AT&T Wireless,,,http://www.txmassage8.com/?utm_source=Google+Business+&utm_medium=CPC&utm_campaign=Dallas+traffic&utm_id=Dallas,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
Active Healing Dallas FT Worth,8179184075,nonFixedVoip,Google (Grand Central) - SVR,,,http://activehealing.us/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old_master
Massage Therapy by Angelly,2282248315,mobile,AT&T Wireless,,,https://www.massagebook.com/biz/massage_therapy_by_angelly,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
Tactical Therapeutics,4694411820,mobile,AT&T Wireless,,,https://thebodytellsnolies.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
JOY Healthy Massage,8177143333,mobile,T-Mobile USA,,,https://localmassagespas.net/explore/joy-healthy-massage/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
Pure Spa,2148274200,fixedVoip,Charter Fiberlink,,,http://www.purespaandsalon.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old_master
Texas Massage and Spa Dallas,4698336621,mobile,AT&T Wireless,,,https://texasmassageandspa.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
Vivian's Boutique Spa,2144844714,mobile,Verizon Wireless,,,https://www.viviansdallas.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
Massage 8,2146099201,mobile,AT&T Wireless,,,http://www.txmassage8.com/?utm_campaign=gmb&utm_id=plano&utm_medium=cpc&utm_source=google+business+,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
Zelene Head Spa Mansfield,4696933887,mobile,Verizon Wireless,,,https://zelenespa.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
Uptown Thai Massage & Wellness,9496859266,mobile,AT&T Wireless,,,https://www.uptown-thaimassage.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
Smiling Feet,6263669944,mobile,T-Mobile USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
Sole Therapy,2142340551,fixedVoip,Charter Fiberlink,,,https://soletherapydfw.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old_master
Niu Niu Foot Spa,8177704409,mobile,AT&T Wireless,,,http://www.niuniuspa.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
Royalty Massage Spa,9724570313,mobile,Verizon Wireless,,,http://www.royaltymassagespa.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
Total Touch Massage Therapy,8175046480,mobile,T-Mobile USA,,,https://totaltouchmassagetherapy.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
Legend Massage,6826672721,mobile,AT&T Wireless,,,http://www.legendmassage.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
Max Therapy Massage,2148929785,mobile,T-Mobile USA,,,https://maxtherapymassage.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
The Healing Brand,9725911373,nonFixedVoip,Google (Grand Central) - SVR,,,http://www.healingbrand.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old_master
Massage Heights Addison,9728338167,nonFixedVoip,Twilio - SMS/MMS-SVR,,,https://www.heightswellnessretreat.com/addison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old_master
Pressed Massage Therapy,6823054882,mobile,T-Mobile USA,customer@pressedmassage.com,,https://pressedmassage.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
Melt Spa and Massage,8173795511,nonFixedVoip,Bandwidth/13 - Bandwidth.com - Infobip,info@meltspaandmassage.com,,http://www.meltspaandmassage.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old_master
L V Massage & Spa,4694930039,mobile,T-Mobile USA,lvmns111@gmail.com,,https://lvmassageandspa.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
Unwind Massage Lounge,4698497252,mobile,Verizon Wireless,amandaegeorge13@gmail.com,,https://unwindmassageloungedallas.zoca.com/?utm_source=googlemaps&utm_medium=googlemaps&utm_campaign=googlemaps,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
Kendahl Airey- DFW Massage Doctor,9725142825,mobile,AT&T Wireless,Kendahl@KendahlAirey.com,,http://www.dfwmassagedoctor.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
The NOW Massage Fort Worth Alliance,8179843788,nonFixedVoip,Vonage/Nexmo - Sinch,press@thenowmassage.com,,https://thenowmassage.com/fort-worth-alliance/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old_master
Oak Tree Massage,4699649745,mobile,Verizon Wireless,lovers@oaktreemassagedallas.com,,https://oaktreemassagedallas.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
The NOW Massage Preston Forest,2142955679,nonFixedVoip,Vonage/Nexmo - Sinch,press@thenowmassage.com,,https://thenowmassage.com/preston-forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old_master
The NOW Massage Lower Greenville,2147646980,nonFixedVoip,Vonage/Nexmo - Sinch,press@thenowmassage.com,,https://thenowmassage.com/lower-greenville/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old_master
Green Lotus Spa • Med Spa,2147829888,fixedVoip,Charter Fiberlink,greenlotussallas02@gmail.com,,https://greenlotusspadallas.zoca.com/?utm_source=googlemaps&utm_medium=googlemaps&utm_campaign=googlemaps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old_master
Kiki's massage LLC.,2149547444,fixedVoip,Charter Fiberlink,kikismassagellc@gmail.com,,https://kikismassagedallas.zoca.com/?utm_source=googlemaps&utm_medium=googlemaps&utm_campaign=googlemaps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old_master
Therapeutic Spa,9723457217,mobile,T-Mobile USA,info@therapeuticspa-tx.com,,http://www.therapeuticspa-tx.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
