Company Name,Phone,Phone_Carrier_Type,Phone_Carrier_Name,Email,Email_Status,Website,Contact_Name,First Name,Last Name,Contact_Title,Contact_Phone,Contact_Phone_Type,Company_Phone,Company_Phone_Type,Street,City,State,State_Code,Zip,Google_Rating,Google_Reviews,Employees,Revenue,Founded,LinkedIn,Facebook,Instagram,Domain,Category,Subtypes,Google_Verified,Business_Status,About,Tags,Source
Pressed Massage Therapy,6823054882,mobile,T-Mobile USA,customer@pressedmassage.com,,https://pressedmassage.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
L V Massage & Spa,4694930039,mobile,T-Mobile USA,lvmns111@gmail.com,,https://lvmassageandspa.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
Unwind Massage Lounge,4698497252,mobile,Verizon Wireless,amandaegeorge13@gmail.com,,https://unwindmassageloungedallas.zoca.com/?utm_source=googlemaps&utm_medium=googlemaps&utm_campaign=googlemaps,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
Kendahl Airey- DFW Massage Doctor,9725142825,mobile,AT&T Wireless,Kendahl@KendahlAirey.com,,http://www.dfwmassagedoctor.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
Oak Tree Massage,4699649745,mobile,Verizon Wireless,lovers@oaktreemassagedallas.com,,https://oaktreemassagedallas.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
Therapeutic Spa,9723457217,mobile,T-Mobile USA,info@therapeuticspa-tx.com,,http://www.therapeuticspa-tx.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
Working Bodies Massage,2149066565,mobile,T-Mobile USA,safeguarding@vagaro.com,,http://www.vagaro.com/workingbodiesmassage,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
MassageFit LLC,2149016742,mobile,T-Mobile USA,founders@pocketsuite.io,,https://pocketsuite.io/link/massagefit,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
Honey Bee Massage and Wellness,4694669712,mobile,T-Mobile USA,corrindandridge@gmail.com,,https://honeybeemassagedallas.zoca.com/?utm_source=googlemaps&utm_medium=googlemaps&utm_campaign=googlemaps,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
Massage is Wellness: In Studio and Mobile,2147732523,mobile,Verizon Wireless,rowanalexander7@gmail.com,,https://massageiswellness.co/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
