Company Name,Phone,Phone_Carrier_Type,Phone_Carrier_Name,Email,Email_Status,Website,Contact_Name,First Name,Last Name,Contact_Title,Contact_Phone,Contact_Phone_Type,Company_Phone,Company_Phone_Type,Street,City,State,State_Code,Zip,Google_Rating,Google_Reviews,Employees,Revenue,Founded,LinkedIn,Facebook,Instagram,Domain,Category,Subtypes,Google_Verified,Business_Status,About,Tags,Source
Splash Pad Pool Builder,+1 214-971-7665,mobile,"T-MOBILE USA, INC.",info@splashpadpoolbuilder.com,RECEIVING,https://splashpadpoolbuilder.com/,,,,,,,2149717665,mobile,5593 TX-276 Suite 107,Royse City,Texas,TX,75189,4.8,159,,,,,https://www.facebook.com/splashpadpoolbuilder/,,splashpadpoolbuilder.com,Swimming pool contractor,Swimming pool contractor,True,OPERATIONAL,"{""Service options"": {""Online estimates"": true, ""Onsite services"": true, ""Language assistance"": ""English, Spanish""}}","outscraper-raw,pool_contractors,mobile-verified",outscraper
TX Blue Line Pools,+1 214-458-7998,mobile,"NEW CINGULAR WIRELESS PCS, LLC - IL",lemonad@jovanny.ru,INVALID,http://www.txbluelinepools.com/,,,,,,,2144587998,mobile,,,,,,5,13,,,,,https://www.facebook.com/388893594298987,,txbluelinepools.com,Swimming pool contractor,"Swimming pool contractor, Service establishment",True,OPERATIONAL,,"outscraper-raw,pool_contractors,mobile-verified",outscraper
TX Blue Line Pools,+1 214-458-7998,mobile,"NEW CINGULAR WIRELESS PCS, LLC - IL",txbluelinepools@gmail.com,RECEIVING,http://www.txbluelinepools.com/,,,,,,,2144587998,mobile,,,,,,5,13,,,,,https://www.facebook.com/388893594298987,,txbluelinepools.com,Swimming pool contractor,"Swimming pool contractor, Service establishment",True,OPERATIONAL,,"outscraper-raw,pool_contractors,mobile-verified",outscraper
My Pool Guy (Timothy Mott LLC),+1 469-651-9449,mobile,CELLCO PARTNERSHIP DBA VERIZON WIRELESS - TX,tom@mypoolguy.com,INVALID,https://mypoolguy.com/,Tom Ernsdorf,Tom,Ernsdorf,business owner,,,,,5380 TX-276,Royse City,Texas,TX,75189,4.9,114,10,1000000,,https://www.linkedin.com/company/my-pool-guy,,,mypoolguy.com,Swimming pool contractor,Swimming pool contractor,True,OPERATIONAL,,"outscraper-raw,pool_contractors,mobile-verified",outscraper
My Pool Guy (Timothy Mott LLC),+1 469-651-9449,mobile,CELLCO PARTNERSHIP DBA VERIZON WIRELESS - TX,tim@mypoolguy.com,RECEIVING,https://mypoolguy.com/,,,,,,,,,5380 TX-276,Royse City,Texas,TX,75189,4.9,114,10,1000000,,https://www.linkedin.com/company/my-pool-guy,,,mypoolguy.com,Swimming pool contractor,Swimming pool contractor,True,OPERATIONAL,,"outscraper-raw,pool_contractors,mobile-verified",outscraper
My Pool Guy (Timothy Mott LLC),+1 469-651-9449,mobile,CELLCO PARTNERSHIP DBA VERIZON WIRELESS - TX,office@mypoolguy.com,RECEIVING,https://mypoolguy.com/,,,,,,,,,5380 TX-276,Royse City,Texas,TX,75189,4.9,114,10,1000000,,https://www.linkedin.com/company/my-pool-guy,,,mypoolguy.com,Swimming pool contractor,Swimming pool contractor,True,OPERATIONAL,,"outscraper-raw,pool_contractors,mobile-verified",outscraper
Creative Pools Rockwall,+1 214-923-7909,mobile,T-Mobile USA,agustinamingote@gmail.com,RECEIVING,https://creativepoolsrockwall.com/,,,,,,,2149237909,mobile,,,,,,5,7,,,1985,,,,creativepoolsrockwall.com,Swimming pool contractor,"Swimming pool contractor, Service establishment",True,OPERATIONAL,,"outscraper-raw,pool_contractors,mobile-verified",outscraper
Creative Pools Rockwall,+1 214-923-7909,mobile,T-Mobile USA,contact@sansoxygen.com,RECEIVING,https://creativepoolsrockwall.com/,,,,,,,2149237909,mobile,,,,,,5,7,,,1985,,,,creativepoolsrockwall.com,Swimming pool contractor,"Swimming pool contractor, Service establishment",True,OPERATIONAL,,"outscraper-raw,pool_contractors,mobile-verified",outscraper
Blue Line Pool & Patio,+1 469-338-3507,mobile,T-Mobile USA Inc.,bluelinepoolandpatio@gmail.com,RECEIVING,http://www.bluelinepoolandpatio.com/,,,,,,,4693383507,mobile,,,,,,4.6,16,,,,,,,bluelinepoolandpatio.com,Swimming pool contractor,"Swimming pool contractor, Service establishment, Turf supplier",True,OPERATIONAL,"{""Service options"": {""Online estimates"": false}}","outscraper-raw,pool_contractors,mobile-verified",outscraper
Blue Line Pool & Patio,+1 469-338-3507,mobile,T-Mobile USA Inc.,patriotpoolandpatio@gmail.com,RECEIVING,http://www.bluelinepoolandpatio.com/,,,,,,,4693383507,mobile,,,,,,4.6,16,,,,,,,bluelinepoolandpatio.com,Swimming pool contractor,"Swimming pool contractor, Service establishment, Turf supplier",True,OPERATIONAL,"{""Service options"": {""Online estimates"": false}}","outscraper-raw,pool_contractors,mobile-verified",outscraper
