Company Name,Phone,Phone_Carrier_Type,Phone_Carrier_Name,Email,Email_Status,Website,Contact_Name,First Name,Last Name,Contact_Title,Contact_Phone,Contact_Phone_Type,Company_Phone,Company_Phone_Type,Street,City,State,State_Code,Zip,Google_Rating,Google_Reviews,Employees,Revenue,Founded,LinkedIn,Facebook,Instagram,Domain,Category,Subtypes,Google_Verified,Business_Status,About,Tags,Source
Jansen Public Adjusters,4697783565,nonFixedVoip,Twilio - SMS/MMS-SVR,,,https://www.jansenai.com/contact/office-locations/dallas-texas/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old_master
ClaimsMate Public Adjusters,4693516611,nonFixedVoip,Twilio - SMS/MMS-SVR,,,https://claimsmate.com/dallas-public-adjuster/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old_master
Tutwiler & Associates Public Adjusters,2143965768,nonFixedVoip,Bandwidth.com CLEC,,,https://www.publicadjuster.com/type-of-claim/frozen-pipe-claims,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old_master
"Abba Claims Consultants, LLC - Public Adjuster",2145010598,fixedVoip,Level 3 Communications,,,https://www.abbaclaims.com/dallas-public-adjuster/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old_master
ASSURANCE CLAIMS SERVICE CO,4693235365,mobile,T-Mobile USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
Citizens Public Adjusters,8554568966,tollFree,Twilio - Toll-Free,,,https://www.citizenspublicadjusters.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old_master
Pilot Catastrophe Services Inc,9723433400,nonFixedVoip,Onvoy/3 - Sinch,,,https://www.pilotcat.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old_master
Adjuster Texas,9037334664,mobile,Verizon Wireless,,,http://www.adjustertexas.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
True View Commercial,2148089163,nonFixedVoip,Twilio - SMS/MMS-SVR,,,https://www.trueviewcommercial.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old_master
Consumer Protection Public Adjusters Firm,4694239589,nonFixedVoip,Twilio - SMS/MMS-SVR,,,https://www.cppafirm.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old_master
Texas Claim Pro PA,2147706302,mobile,Verizon Wireless,,,https://www.txclaimpro.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
Hope Public Adjusters,8333125246,tollFree,,,,https://hopepublicadjusters.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old_master
