Company Name,Phone,Phone_Carrier_Type,Phone_Carrier_Name,Email,Email_Status,Website,Contact_Name,First Name,Last Name,Contact_Title,Contact_Phone,Contact_Phone_Type,Company_Phone,Company_Phone_Type,Street,City,State,State_Code,Zip,Google_Rating,Google_Reviews,Employees,Revenue,Founded,LinkedIn,Facebook,Instagram,Domain,Category,Subtypes,Google_Verified,Business_Status,About,Tags,Source
M&B Septic Service & Noah's Ark Port-A-Jon,+1 973-838-5840,mobile,Verizon Wireless,,,http://www.mbsepticservices.com/,,,,,,,,,3 Van Cleef Rd,West Milford,New Jersey,NJ,07480,4.6,56,,,,,,,,Septic system service,Septic system service,True,OPERATIONAL,,"outscraper-raw,septic_services,mobile-verified",outscraper
Mac's Septic Services,+1 574-320-5595,mobile,AT&T Wireless,,,http://macs-septic.com/,,,,,,,,,,,,,,4.9,39,,,,,,,,Septic system service,"Septic system service, Service establishment",True,OPERATIONAL,,"outscraper-raw,septic_services,mobile-verified",outscraper
ABS Septic,+1 570-955-6698,mobile,Verizon Wireless,,,https://abssepticpa.com/,,,,,,,,,,,,,,4.7,37,,,,,,,,Septic system service,"Septic system service, Demolition contractor, Service establishment, Excavating contractor",True,OPERATIONAL,,"outscraper-raw,septic_services,mobile-verified",outscraper
Rick's Septic Tank & Pumping,+1 270-791-4099,mobile,Verizon Wireless,,,http://www.rickssepticservice.com/,,,,,,,,,,,,,,4.9,62,10,1000000,2013,,,,,Septic system service,"Septic system service, Service establishment",True,OPERATIONAL,,"outscraper-raw,septic_services,mobile-verified",outscraper
24/7 CESSPOOL SEPTIC SERVICE SUFFOLK COUNTY - Drastic Drainage Long Island,+1 631-422-4122,mobile,Verizon Wireless,,,https://www.drasticdrainage.com/,,,,,,,,,,,,,,4.9,105,,,,,,,,Septic system service,"Septic system service, Drainage service, Service establishment",True,OPERATIONAL,"{""Service options"": {""Online estimates"": true}, ""Crowd"": {""LGBTQ+ friendly"": true}, ""Other"": {""LGBTQ+ friendly"": true}}","outscraper-raw,septic_services,mobile-verified",outscraper
Vlk Septic Inspections,+1 603-236-1334,mobile,AT&T Wireless,,,http://www.nhsepticinspector.com/,,,,,,,,,67 Mt Moosilauke Hwy,Wentworth,New Hampshire,NH,03282,5,50,,,,,,,,Septic system service,"Septic system service, Drafting service, Drainage service, Excavating contractor, Sanitary inspection, Sanitation service, Sewage disposal service",True,OPERATIONAL,"{""Service options"": {""Online estimates"": true, ""Onsite services"": true, ""Language assistance"": ""English""}}","outscraper-raw,septic_services,mobile-verified",outscraper
Sigma Solutions Septic Services LLC,+1 469-222-2106,mobile,Verizon Wireless,,,https://www.sigmasolutionssepticservices.com/,,,,,,,,,4840 Co Rd 597,Farmersville,Texas,TX,75442,5,47,,,,,,,,Septic system service,Septic system service,True,OPERATIONAL,,"outscraper-raw,septic_services,mobile-verified",outscraper
Moore Sewer Services,+1 937-830-5524,mobile,AT&T Wireless,,,https://www.mooresewerservices.com/,,,,,,,,,,,,,,5,320,,,,,,,,Plumber,"Plumber, Service establishment",True,OPERATIONAL,"{""Offerings"": {""Repair services"": true}}","outscraper-raw,septic_services,mobile-verified",outscraper
Scott's Outdoor Services LLC,+1 937-533-9501,mobile,Verizon Wireless,,,http://scottsoutdoorservicesllc.com/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,,,,,,,,,15506 Dechant Rd,Farmersville,Ohio,OH,45325,5,1,,,,,,,,Excavating contractor,"Septic system service, Drainage service, Excavating contractor",True,OPERATIONAL,,"outscraper-raw,septic_services,mobile-verified",outscraper
Affordable Septic,+1 937-475-9330,mobile,Verizon Wireless,,,,,,,,,,,,,,,,,5,7,,,,,,,,Septic system service,"Septic system service, Service establishment",True,OPERATIONAL,,"outscraper-raw,septic_services,mobile-verified",outscraper
JJM Septic,+1 214-733-9957,mobile,AT&T Wireless,,,https://www.jjmsepticllc.com/,,,,,,,,,,,,,,4.4,7,,,,,,,,Septic system service,"Septic system service, Service establishment",True,OPERATIONAL,,"outscraper-raw,septic_services,mobile-verified",outscraper
A-1 Septic Service,+1 972-736-2186,mobile,AT&T Wireless,,,https://www.facebook.com/pages/A-1-Septic-Service/112574975505235,,,,,,,,,2024 Co Rd 906,Princeton,Texas,TX,75407,4.4,28,,,,,,,,Septic system service,Septic system service,True,OPERATIONAL,,"outscraper-raw,septic_services,mobile-verified",outscraper
J And D Petway Septic Tank Cleaning,+1 972-562-7452,mobile,AT&T Wireless,,,,,,,,,,,,,,,,,5,24,,,,,,,,Septic system service,"Septic system service, Service establishment",True,OPERATIONAL,"{""Crowd"": {""LGBTQ+ friendly"": true}, ""Other"": {""LGBTQ+ friendly"": true}}","outscraper-raw,septic_services,mobile-verified",outscraper
Ivey Septic Service,+1 864-426-6996,mobile,AT&T Wireless,,,https://www.iveysepticsc.com/,,,,,,,,,,,,,,5,12,,,,,,,,Septic system service,"Septic system service, Service establishment, Excavating contractor",True,OPERATIONAL,,"outscraper-raw,septic_services,mobile-verified",outscraper
Bright Star Excavating & Septic,+1 214-843-3536,mobile,AT&T Wireless,,,http://brightstarexcavating.com/,,,,,,,,,,,,,,5,20,,,,,,,,Septic system service,"Septic system service, Service establishment",True,OPERATIONAL,,"outscraper-raw,septic_services,mobile-verified",outscraper
D E Thomason Septic Co,+1 559-784-8107,mobile,Onvoy,,,,,,,,,,,,321 E Noble Ave,Farmersville,California,CA,93223,4,1,,,,,,,,Septic system service,Septic system service,False,OPERATIONAL,,"outscraper-raw,septic_services,mobile-verified",outscraper
