Company Name,Phone,Phone_Carrier_Type,Phone_Carrier_Name,Email,Email_Status,Website,Contact_Name,First Name,Last Name,Contact_Title,Contact_Phone,Contact_Phone_Type,Company_Phone,Company_Phone_Type,Street,City,State,State_Code,Zip,Google_Rating,Google_Reviews,Employees,Revenue,Founded,LinkedIn,Facebook,Instagram,Domain,Category,Subtypes,Google_Verified,Business_Status,About,Tags,Source
CityLine Artificial Turf,+1 972-945-2708,voip,TELNYX,,,https://citylineartificialturfallentx.us/,,,,,,,,,1022 S Greenville Ave G,Allen,Texas,TX,75002,5,15,,,,,,,,Turf supplier,Turf supplier,True,OPERATIONAL,"{""Service options"": {""Onsite services"": true}, ""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}, ""Crowd"": {""LGBTQ+ friendly"": true, ""Transgender safespace"": true}, ""Parking"": {""Free parking lot"": true}, ""Other"": {""LGBTQ+ friendly"": true}}","outscraper-raw,turf_landscaping",outscraper
TX Artificial Turf & Design,+1 469-560-7202,mobile,"NEW CINGULAR WIRELESS PCS, LLC - IL",team@latofonts.com,RECEIVING,https://turfanddesign.com/,,,,,,,9727717900,landline,2414 S Goliad St,Rockwall,Texas,TX,75032,5,79,,,,,https://www.facebook.com/turfanddesign,https://www.instagram.com/artificialturfdesign,turfanddesign.com,Turf supplier,"Turf supplier, Landscape architect, Landscape designer, Landscaping supply store",True,OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible parking lot"": true}}","outscraper-raw,turf_landscaping,mobile-verified",outscraper
TX Artificial Turf & Design,+1 469-560-7202,mobile,"NEW CINGULAR WIRELESS PCS, LLC - IL",info@turfanddesign.com,RECEIVING,https://turfanddesign.com/,,,,,,,9727717900,landline,2414 S Goliad St,Rockwall,Texas,TX,75032,5,79,,,,,https://www.facebook.com/turfanddesign,https://www.instagram.com/artificialturfdesign,turfanddesign.com,Turf supplier,"Turf supplier, Landscape architect, Landscape designer, Landscaping supply store",True,OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible parking lot"": true}}","outscraper-raw,turf_landscaping,mobile-verified",outscraper
TX Artificial Turf & Design,+1 469-560-7202,mobile,"NEW CINGULAR WIRELESS PCS, LLC - IL",support@turfanddesign.com,RECEIVING,https://turfanddesign.com/,,,,,,,9727717900,landline,2414 S Goliad St,Rockwall,Texas,TX,75032,5,79,,,,,https://www.facebook.com/turfanddesign,https://www.instagram.com/artificialturfdesign,turfanddesign.com,Turf supplier,"Turf supplier, Landscape architect, Landscape designer, Landscaping supply store",True,OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible parking lot"": true}}","outscraper-raw,turf_landscaping,mobile-verified",outscraper
Artificial Turf and Design,+1 972-771-7900,landline,Level 3 Communications,chuck@ctsconstruction.com,INVALID,http://www.artificialturfanddesign.com/,,,,,,,19727717900,landline,105 N Alamo Rd,Rockwall,Texas,TX,75087,5,12,,,,,https://www.facebook.com/artificialturfanddesign,,artificialturfanddesign.com,Turf supplier,"Turf supplier, Landscape designer",True,OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible parking lot"": true}}","outscraper-raw,turf_landscaping",outscraper
Artificial Turf and Design,+1 972-771-7900,landline,Level 3 Communications,info@turfanddesign.com,RECEIVING,http://www.artificialturfanddesign.com/,,,,,,,19727717900,landline,105 N Alamo Rd,Rockwall,Texas,TX,75087,5,12,,,,,https://www.facebook.com/artificialturfanddesign,,artificialturfanddesign.com,Turf supplier,"Turf supplier, Landscape designer",True,OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible parking lot"": true}}","outscraper-raw,turf_landscaping",outscraper
Artificial Turf and Design,+1 972-771-7900,landline,Level 3 Communications,accounting@turfanddesign.com,RECEIVING,http://www.artificialturfanddesign.com/,,,,,,,19727717900,landline,105 N Alamo Rd,Rockwall,Texas,TX,75087,5,12,,,,,https://www.facebook.com/artificialturfanddesign,,artificialturfanddesign.com,Turf supplier,"Turf supplier, Landscape designer",True,OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible parking lot"": true}}","outscraper-raw,turf_landscaping",outscraper
Turf It All,+1 972-565-0466,mobile,"USA MOBILITY WIRELESS, INC.",info@turfitall.com,RECEIVING,http://www.turfitall.com/,,,,,,,19725650466,mobile,505A Bishop Ave,Richardson,Texas,TX,75080,5,55,,,,,https://www.facebook.com/people/,https://www.instagram.com/turfitall,turfitall.com,Turf supplier,"Turf supplier, Landscape designer",True,OPERATIONAL,"{""Service options"": {""Onsite services"": true}, ""Accessibility"": {""Wheelchair accessible parking lot"": true}}","outscraper-raw,turf_landscaping,mobile-verified",outscraper
Festival Turf Dallas/Fort Worth,+1 844-214-8873,toll_free,,info@festivalturf.com,RECEIVING,https://festivalturf.com/our-locations/artificial-turf-dallas-tx/%3Futm_source%3Dgoogle%26utm_medium%3Dmedium%26utm_campaign%3Dorganic%26utm_content%3DGMB-dallas,,,,,,,8447028873,toll_free,3601 Dividend Dr,Garland,Texas,TX,75042,5,158,10,,,https://www.linkedin.com/company/festivalturf/,https://www.facebook.com/festivalturf,https://www.instagram.com/festivalturf,festivalturf.com,Turf supplier,"Turf supplier, Landscape architect, Landscape designer, Landscaping supply store",True,OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true, ""Wheelchair accessible restroom"": true, ""Wheelchair accessible seating"": true}, ""Amenities"": {""Gender-neutral restroom"": true}}","outscraper-raw,turf_landscaping",outscraper
North Texas Luxury Lawns & Greens,+1 972-412-6569,landline,Charter Fiberlink,admin@ntllg.com,RECEIVING,https://www.northtexasluxurylawns.com/,,,,,,,9724126569,landline,208 S International Rd,Garland,Texas,TX,75042,5,152,10,1000000,2008,,https://www.facebook.com/ntxll/,https://www.instagram.com/northtexasluxurylawns/,northtexasluxurylawns.com,Turf supplier,"Turf supplier, Artificial plant supplier, Landscape architect, Landscape designer, Landscaper, Landscaping supply store",True,OPERATIONAL,"{""Service options"": {""Onsite services"": true}, ""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}","outscraper-raw,turf_landscaping",outscraper
