Company Name,Phone,Phone_Carrier_Type,Phone_Carrier_Name,Email,Email_Status,Website,Contact_Name,First Name,Last Name,Contact_Title,Contact_Phone,Contact_Phone_Type,Company_Phone,Company_Phone_Type,Street,City,State,State_Code,Zip,Google_Rating,Google_Reviews,Employees,Revenue,Founded,LinkedIn,Facebook,Instagram,Domain,Category,Subtypes,Google_Verified,Business_Status,About,Tags,Source
TX Artificial Turf & Design,+1 469-560-7202,mobile,"NEW CINGULAR WIRELESS PCS, LLC - IL",team@latofonts.com,RECEIVING,https://turfanddesign.com/,,,,,,,9727717900,landline,2414 S Goliad St,Rockwall,Texas,TX,75032,5,79,,,,,https://www.facebook.com/turfanddesign,https://www.instagram.com/artificialturfdesign,turfanddesign.com,Turf supplier,"Turf supplier, Landscape architect, Landscape designer, Landscaping supply store",True,OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible parking lot"": true}}","outscraper-raw,turf_landscaping,mobile-verified",outscraper
TX Artificial Turf & Design,+1 469-560-7202,mobile,"NEW CINGULAR WIRELESS PCS, LLC - IL",info@turfanddesign.com,RECEIVING,https://turfanddesign.com/,,,,,,,9727717900,landline,2414 S Goliad St,Rockwall,Texas,TX,75032,5,79,,,,,https://www.facebook.com/turfanddesign,https://www.instagram.com/artificialturfdesign,turfanddesign.com,Turf supplier,"Turf supplier, Landscape architect, Landscape designer, Landscaping supply store",True,OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible parking lot"": true}}","outscraper-raw,turf_landscaping,mobile-verified",outscraper
TX Artificial Turf & Design,+1 469-560-7202,mobile,"NEW CINGULAR WIRELESS PCS, LLC - IL",support@turfanddesign.com,RECEIVING,https://turfanddesign.com/,,,,,,,9727717900,landline,2414 S Goliad St,Rockwall,Texas,TX,75032,5,79,,,,,https://www.facebook.com/turfanddesign,https://www.instagram.com/artificialturfdesign,turfanddesign.com,Turf supplier,"Turf supplier, Landscape architect, Landscape designer, Landscaping supply store",True,OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible parking lot"": true}}","outscraper-raw,turf_landscaping,mobile-verified",outscraper
Turf It All,+1 972-565-0466,mobile,"USA MOBILITY WIRELESS, INC.",info@turfitall.com,RECEIVING,http://www.turfitall.com/,,,,,,,19725650466,mobile,505A Bishop Ave,Richardson,Texas,TX,75080,5,55,,,,,https://www.facebook.com/people/,https://www.instagram.com/turfitall,turfitall.com,Turf supplier,"Turf supplier, Landscape designer",True,OPERATIONAL,"{""Service options"": {""Onsite services"": true}, ""Accessibility"": {""Wheelchair accessible parking lot"": true}}","outscraper-raw,turf_landscaping,mobile-verified",outscraper
Total Turf Management LLC,+1 903-413-5379,mobile,"NEW CINGULAR WIRELESS PCS, LLC - IL",eben@eyebytes.com,RECEIVING,http://total-turf.com/,,,,,,,9034135379,mobile,,,,,,5,21,10,1000000,,,https://www.facebook.com/106865954459252,,total-turf.com,Lawn care service,"Lawn care service, Service establishment",True,OPERATIONAL,,"outscraper-raw,turf_landscaping,mobile-verified",outscraper
Total Turf Management LLC,+1 903-413-5379,mobile,"NEW CINGULAR WIRELESS PCS, LLC - IL",matt@total-turf.com,RECEIVING,http://total-turf.com/,,,,,,,9034135379,mobile,,,,,,5,21,10,1000000,,,https://www.facebook.com/106865954459252,,total-turf.com,Lawn care service,"Lawn care service, Service establishment",True,OPERATIONAL,,"outscraper-raw,turf_landscaping,mobile-verified",outscraper
365 Custom Turf,+1 972-777-5147,mobile,"USA MOBILITY WIRELESS, INC.",info@365customturf.com,RECEIVING,http://365customturf.com/,,,,,,,,,700 N Glenville Dr,Richardson,Texas,TX,75081,4.2,53,,,,,https://www.facebook.com/365CustomTurf/,,365customturf.com,Turf supplier,"Turf supplier, Landscaper",True,OPERATIONAL,"{""Service options"": {""Onsite services"": true}, ""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}","outscraper-raw,turf_landscaping,mobile-verified",outscraper
"TX Turf & Outdoor, LLC",+1 214-499-4034,mobile,"NEW CINGULAR WIRELESS PCS, LLC - IL",matt@pixelspread.com,RECEIVING,https://tx-turf.com/,,,,,,,2144994034,mobile,110 E Louisiana St,McKinney,Texas,TX,75069,5,2,,,,,https://www.facebook.com/101544285387918,https://www.instagram.com/txturfoutdoor,tx-turf.com,Turf supplier,Turf supplier,True,OPERATIONAL,,"outscraper-raw,turf_landscaping,mobile-verified",outscraper
"TX Turf & Outdoor, LLC",+1 214-499-4034,mobile,"NEW CINGULAR WIRELESS PCS, LLC - IL",hello@rfuenzalida.com,INVALID,https://tx-turf.com/,,,,,,,2144994034,mobile,110 E Louisiana St,McKinney,Texas,TX,75069,5,2,,,,,https://www.facebook.com/101544285387918,https://www.instagram.com/txturfoutdoor,tx-turf.com,Turf supplier,Turf supplier,True,OPERATIONAL,,"outscraper-raw,turf_landscaping,mobile-verified",outscraper
"TX Turf & Outdoor, LLC",+1 214-499-4034,mobile,"NEW CINGULAR WIRELESS PCS, LLC - IL",matt@tx-turf.com,RECEIVING,https://tx-turf.com/,,,,,,,2144994034,mobile,110 E Louisiana St,McKinney,Texas,TX,75069,5,2,,,,,https://www.facebook.com/101544285387918,https://www.instagram.com/txturfoutdoor,tx-turf.com,Turf supplier,Turf supplier,True,OPERATIONAL,,"outscraper-raw,turf_landscaping,mobile-verified",outscraper
